id,ime,fakulteta,univerza,predmeti,st_ocen,ocena

2683,Vukman Joso,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],43,2.7

2684,Šuštar Vilma,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],11,3.0

2685,Ambrožič Dolinšek Jana,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],35,2.7

2686,Bokal Drago,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,"['Statistika', 'Glupane']",27,1.5

2687,Demac Damijan,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Uvod v varstvo narave'],18,4.5

2688,Janžekovič Franc,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Sistematika in filogenija vretenčarjev'],72,4.1

2689,Kaligarič Mitja,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Splošna botanika'],84,3.5

2690,Knez Rajko,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Osnove naravovarstvene zakonodaje eu in slovenije'],20,4.4

2691,Kovačić Seba,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],12,1.3

2692,Krajnc Peter,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,"['Kemija', 'Osnove okoljske kemije']",18,3.2

2693,Lipej Lovrenc,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Ekologija morja'],16,4.4

2694,Lipovšek Delakorda Saška,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Biologija celice'],58,4.4

2695,Novak Tone,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,"['Splošna zoologija', 'Osnove ekologije in ekologija živali', 'Glupane', 'Smotane']",72,3.2

2696,P Nataša,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Botanika'],30,2.8

2697,Paušič Igor,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],36,4.3

2698,Skoberne Peter,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Uvod v varstvo narave'],10,4.3

2699,Tome Davorin,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Populacijska ekologija'],10,4.1

2700,Čarni Andraž,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Pregled gozdnih združb slovenije'],25,4.5

2701,Šajna Nina,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,['Osnove ekologije in ekologija živali'],56,4.1

2702,Škornik Sonja,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],69,4.2

2703,Šorgo Andrej,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,[''],34,3.6

2704,Gerlič Ivan,Fakulteta za naravoslovje in matematiko,Univerza v Mariboru,"['Predmetna didaktika', 'Ikt v izobraževanju']",16,1.7

2705,Balantič Zvone,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Ergonomija'],4,3.0

2706,Bren Matevž,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Matematika'],60,2.2

2707,Brezavšček Alenka,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Varnost informacijskih sistemov', 'Stohastika', 'Varnost informacijskih sistemov', 'Stohastika']",52,3.5

2708,Dretnik Lovro,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Stat'],19,3.1

2709,Ekar Marjeta,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Angleški poslovni jezik'],42,2.2

2710,Ferjan Marko,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],11,2.4

2711,Florjančič Jože,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Kadrovski management'],37,3.5

2712,Jereb Eva,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],15,3.9

2713,Jesenko Jože,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Statistika'],19,3.6

2714,Jure Kovač,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Osnove organizacije in managementa'],45,3.7

2715,Kampuš Trop Vida,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Ekonomika 2'],54,1.9

2716,Kern Tomaž,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Organizacija poslovnih procesov'],31,3.2

2717,Kljajić Borštnar Dr. Mirjana,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Teorija odločanja'],32,3.0

2718,Leskovar Robert,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Računalništvo in informatika', 'Sistemska analiza']",26,2.8

2719,Marič Miha,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],60,3.4

2720,Mežnar Drago,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Temeljno o pravu z osnovami civilnega prava'],20,3.3

2721,Miglič Gozdana,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Organizacijska antropologija'],24,3.2

2722,Novak Aleš,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Ekonomika 1', 'Poslovodno računovodstvo']",30,3.2

2723,Rajkovič Uroš,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Organiziranje računalniških komunikacij', 'Baze podatkov']",26,3.9

2724,Senegačnik Marjan,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],76,4.3

2725,Tratnik Alenka,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Angleški poslovni jezik'],28,3.8

2726,Urh Benjamin,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Organizacija poslovnih procesov'],16,2.4

2727,Urh Marko,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],21,4.2

2728,Vavtar Bojan,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],24,3.0

2729,Vuk Drago,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Tehnološki sistemi z osnovami ekologije', 'Naravoslovje in tehnologija']",55,2.0

2730,Vukovič Goran,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Osnove marketinga'],21,4.0

2731,Zupančič Jože,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,"['Programiranje', 'Baze podatkov']",23,3.3

2732,Škraba Andrej,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],9,3.6

2733,Šparl Petra,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,[''],26,2.8

2734,Novak Vesna,Fakulteta za organizacijske vede Kranj,Univerza v Mariboru,['Kadrovski management'],2,2.5

2735,Abram Zver Marta,Fakulteta za strojništvo,Univerza v Mariboru,[''],20,3.1

2736,Anžel Ivan,Fakulteta za strojništvo,Univerza v Mariboru,['Materiali 2'],122,3.1

2737,Ačko Bojan,Fakulteta za strojništvo,Univerza v Mariboru,[''],48,2.7

2738,Balič Jože,Fakulteta za strojništvo,Univerza v Mariboru,[''],34,3.4

2739,Bavcar Miha,Fakulteta za strojništvo,Univerza v Mariboru,['Sportna'],2,3.0

2740,Belšak Aleš,Fakulteta za strojništvo,Univerza v Mariboru,['Strojni elementi'],109,3.3

2741,Biluš Ignacijo,Fakulteta za strojništvo,Univerza v Mariboru,[''],48,2.7

2742,Borovinšek Matej,Fakulteta za strojništvo,Univerza v Mariboru,[''],67,3.9

2743,Brajlih Tomaž,Fakulteta za strojništvo,Univerza v Mariboru,['Proizvodne tehnologije'],60,4.3

2744,Brezovnik Simon,Fakulteta za strojništvo,Univerza v Mariboru,[''],10,4.5

2745,Brezočnik Miran,Fakulteta za strojništvo,Univerza v Mariboru,[''],77,4.3

2746,Brunčko Mihael,Fakulteta za strojništvo,Univerza v Mariboru,['Materiali 2'],65,2.9

2747,Buchmeister Borut,Fakulteta za strojništvo,Univerza v Mariboru,[''],85,4.0

2748,Detiček Edvard,Fakulteta za strojništvo,Univerza v Mariboru,[''],29,2.2

2749,Dobnik Dubrovski Polona,Fakulteta za strojništvo,Univerza v Mariboru,[''],20,2.2

2750,Dolšak Bojan,Fakulteta za strojništvo,Univerza v Mariboru,[''],86,3.3

2751,Drstvenšek Igor,Fakulteta za strojništvo,Univerza v Mariboru,[''],54,3.9

2752,Fakin Darinka,Fakulteta za strojništvo,Univerza v Mariboru,[''],16,4.4

2753,Ficko Mirko,Fakulteta za strojništvo,Univerza v Mariboru,[''],52,2.2

2754,Flašker Jože,Fakulteta za strojništvo,Univerza v Mariboru,[''],40,2.1

2755,Florjanič Jan,Fakulteta za strojništvo,Univerza v Mariboru,[''],4,4.0

2756,Fras Zemljič Lidija,Fakulteta za strojništvo,Univerza v Mariboru,[''],27,3.3

2757,Fužir Bauer Gabrijela,Fakulteta za strojništvo,Univerza v Mariboru,[''],23,1.9

2758,Geršak Jelka,Fakulteta za strojništvo,Univerza v Mariboru,[''],23,2.1

2759,Gliha Vladimir,Fakulteta za strojništvo,Univerza v Mariboru,[''],22,2.7

2760,Glodež Srečko,Fakulteta za strojništvo,Univerza v Mariboru,['Strojni elementi'],73,4.3

2761,Gotlih Karl,Fakulteta za strojništvo,Univerza v Mariboru,[''],46,3.5

2762,Gotlih Janez,Fakulteta za strojništvo,Univerza v Mariboru,['Montaža'],24,2.1

2763,Gubeljak Nenad,Fakulteta za strojništvo,Univerza v Mariboru,['Tehniška dokumentacija'],200,1.9

2764,Gusel Leo,Fakulteta za strojništvo,Univerza v Mariboru,[''],36,3.4

2765,Habjanič Sandi,Fakulteta za strojništvo,Univerza v Mariboru,[''],5,3.2

2766,Hauko Robert,Fakulteta za strojništvo,Univerza v Mariboru,['Mehanika za mehatronike'],67,4.6

2767,Hrastnik Ladinek Irena,Fakulteta za strojništvo,Univerza v Mariboru,['Linearna algebra'],90,4.5

2768,Hribernik Aleš,Fakulteta za strojništvo,Univerza v Mariboru,[''],59,3.8

2769,Hriberšek Matjaž,Fakulteta za strojništvo,Univerza v Mariboru,[''],58,3.6

2770,Iljaž Jurij,Fakulteta za strojništvo,Univerza v Mariboru,"['Termodinamika', 'Mehanika tekočin in prenos toplote']",65,4.1

2771,Kaljun Jasmin,Fakulteta za strojništvo,Univerza v Mariboru,[''],66,3.2

2772,Kastrevc Mitja,Fakulteta za strojništvo,Univerza v Mariboru,[''],87,2.6

2773,Kegl Marko,Fakulteta za strojništvo,Univerza v Mariboru,[''],108,2.9

2774,Kegl Breda,Fakulteta za strojništvo,Univerza v Mariboru,[''],50,3.7

2775,Klančnik Simon,Fakulteta za strojništvo,Univerza v Mariboru,[''],51,4.9

2776,Kokalj Filip,Fakulteta za strojništvo,Univerza v Mariboru,[''],31,3.9

2777,Kosi Ulbl Irena,Fakulteta za strojništvo,Univerza v Mariboru,"['Linearna algebra', 'Matematična analiza']",78,2.2

2778,Kramberger Janez,Fakulteta za strojništvo,Univerza v Mariboru,[''],29,3.1

2779,Kreševič Vraz Silva,Fakulteta za strojništvo,Univerza v Mariboru,[''],27,2.3

2780,Kreže Tatjana,Fakulteta za strojništvo,Univerza v Mariboru,[''],9,2.6

2781,Leber Marjan,Fakulteta za strojništvo,Univerza v Mariboru,['Študij dela'],13,4.0

2782,Lerher Tone,Fakulteta za strojništvo,Univerza v Mariboru,[''],30,3.3

2783,Lešnik Luka,Fakulteta za strojništvo,Univerza v Mariboru,[''],10,2.4

2784,Lipošek Silvester,Fakulteta za strojništvo,Univerza v Mariboru,[''],20,4.6

2785,Lobnik Aleksandra,Fakulteta za strojništvo,Univerza v Mariboru,[''],32,2.0

2786,Lojen Gorazd,Fakulteta za strojništvo,Univerza v Mariboru,['Materiali 1'],44,3.3

2787,Lovrec Darko,Fakulteta za strojništvo,Univerza v Mariboru,[''],24,3.2

2788,Luka Lešnik,Fakulteta za strojništvo,Univerza v Mariboru,[''],1,1.0

2789,Majcen Le Marechal Alenka,Fakulteta za strojništvo,Univerza v Mariboru,[''],11,3.2

2790,Marn Jure,Fakulteta za strojništvo,Univerza v Mariboru,[''],90,2.3

2791,Marčič Milan,Fakulteta za strojništvo,Univerza v Mariboru,[''],100,2.0

2792,Neral Branko,Fakulteta za strojništvo,Univerza v Mariboru,[''],12,4.0

2793,Novak Marina,Fakulteta za strojništvo,Univerza v Mariboru,[''],52,1.6

2794,Pahole Ivo,Fakulteta za strojništvo,Univerza v Mariboru,"['Mehanska tehnologija', 'Obdelovalni stroji']",30,2.2

2795,Paj Tjaša,Fakulteta za strojništvo,Univerza v Mariboru,['Matematična analiza'],131,4.4

2796,Palčič Iztok,Fakulteta za strojništvo,Univerza v Mariboru,[''],63,4.0

2797,Pehan Stanislav,Fakulteta za strojništvo,Univerza v Mariboru,[''],39,2.7

2798,Pogačar Vojmir,Fakulteta za strojništvo,Univerza v Mariboru,[''],29,3.1

2799,Potrč Iztok,Fakulteta za strojništvo,Univerza v Mariboru,[''],23,2.5

2800,Predan Jožef,Fakulteta za strojništvo,Univerza v Mariboru,[''],99,3.6

2801,Primožič Merkač Tadeja,Fakulteta za strojništvo,Univerza v Mariboru,[''],1,5.0

2802,Ramšak Matjaž,Fakulteta za strojništvo,Univerza v Mariboru,[''],33,3.9

2803,Ravnik Jure,Fakulteta za strojništvo,Univerza v Mariboru,[''],44,3.1

2804,Ren Zoran,Fakulteta za strojništvo,Univerza v Mariboru,[''],122,3.1

2805,Rudolf Andreja,Fakulteta za strojništvo,Univerza v Mariboru,[''],22,4.4

2806,Samec Niko,Fakulteta za strojništvo,Univerza v Mariboru,[''],32,2.6

2807,Sfiligoj Smole Majda,Fakulteta za strojništvo,Univerza v Mariboru,[''],15,3.7

2808,Skrbinek Andrej,Fakulteta za strojništvo,Univerza v Mariboru,[''],21,3.0

2809,Spindler Lea,Fakulteta za strojništvo,Univerza v Mariboru,[''],43,3.8

2810,Stana Kleinschek Karin,Fakulteta za strojništvo,Univerza v Mariboru,[''],9,2.0

2811,Stjepanović Zoran,Fakulteta za strojništvo,Univerza v Mariboru,[''],25,4.2

2812,Strnad Simona,Fakulteta za strojništvo,Univerza v Mariboru,[''],9,3.4

2813,Tič Vito,Fakulteta za strojništvo,Univerza v Mariboru,[''],17,4.1

2814,Ulaga Samo,Fakulteta za strojništvo,Univerza v Mariboru,[''],13,2.8

2815,Ulbin Miran,Fakulteta za strojništvo,Univerza v Mariboru,[''],42,3.2

2816,Vesenjak Mtej,Fakulteta za strojništvo,Univerza v Mariboru,[''],35,4.1

2817,Volmajer Valh Julija,Fakulteta za strojništvo,Univerza v Mariboru,[''],20,4.0

2818,Vončina Bojana,Fakulteta za strojništvo,Univerza v Mariboru,[''],15,3.8

2819,Vuherer Tomaž,Fakulteta za strojništvo,Univerza v Mariboru,[''],37,3.7

2820,Vujica Herzog Nataša,Fakulteta za strojništvo,Univerza v Mariboru,[''],37,3.2

2821,Zadravec Matej,Fakulteta za strojništvo,Univerza v Mariboru,[''],124,4.7

2822,Zupanič Franc,Fakulteta za strojništvo,Univerza v Mariboru,['Materiali 1'],70,3.7

2823,Čuš Franc,Fakulteta za strojništvo,Univerza v Mariboru,"['Tehnika odrezovanja', 'Orodja in priprave']",47,2.4

2824,Šauperl Oliver,Fakulteta za strojništvo,Univerza v Mariboru,[''],20,4.3

2825,Škerget Leopold,Fakulteta za strojništvo,Univerza v Mariboru,[''],67,2.5

2826,Štefane Primož,Fakulteta za strojništvo,Univerza v Mariboru,['Tehniška dokumentacija'],36,2.6

2827,Šterman Sonja,Fakulteta za strojništvo,Univerza v Mariboru,[''],6,3.3

2828,Županek Tatjana,Fakulteta za strojništvo,Univerza v Mariboru,['Angleščina'],100,1.7

2829,Župerl Uroš,Fakulteta za strojništvo,Univerza v Mariboru,[''],56,1.7

2830,Golob Borut,Fakulteta za strojništvo,Univerza v Mariboru,[''],40,3.8

2831,Harl Boštjan,Fakulteta za strojništvo,Univerza v Mariboru,"['Statika in trdnost', 'Mehanika I']",123,4.6

2832,Padežnik Gomilšek Jana,Fakulteta za strojništvo,Univerza v Mariboru,[''],38,2.8

2833,Sluban Boris,Fakulteta za strojništvo,Univerza v Mariboru,[''],40,2.1

2834,Vesenjak Matej,Fakulteta za strojništvo,Univerza v Mariboru,[''],93,3.1

2835,Gorenak Doc. Dr. Mitja,Fakulteta za Turizem,Univerza v Mariboru,[''],12,3.7

2836,Brumen Boštjan,Fakulteta za Turizem,Univerza v Mariboru,[''],22,3.7

2837,Koščak Marko,Fakulteta za Turizem,Univerza v Mariboru,[''],17,3.5

2838,Kurež Bojan,Fakulteta za Turizem,Univerza v Mariboru,[''],8,3.4

2839,Potočnik Topler Jasna,Fakulteta za Turizem,Univerza v Mariboru,"['Prvi tuji jezik 1', 'Prvi tuji jezik 3', 'Angleščona 1', 'Angleščina 1']",30,4.1

2840,Prevolšek Boris,Fakulteta za Turizem,Univerza v Mariboru,[''],20,3.1

2841,Rangus Marjetka,Fakulteta za Turizem,Univerza v Mariboru,[''],21,2.9

2842,Rosi Maja,Fakulteta za Turizem,Univerza v Mariboru,[''],22,4.5

2843,Turnšek Hančič Maja,Fakulteta za Turizem,Univerza v Mariboru,[''],15,3.1

2844,Flander Benjamin,Fakulteta za varnostne vede,Univerza v Mariboru,"['Etika in človekove pravice', 'Uvod v pravo']",24,4.2

2845,Klemenčič Goran,Fakulteta za varnostne vede,Univerza v Mariboru,[''],4,4.0

2846,Meško Gorazd,Fakulteta za varnostne vede,Univerza v Mariboru,[''],8,3.4

2847,Areh Igor,Fakulteta za varnostne vede,Univerza v Mariboru,[''],3,3.7

2848,Dobovšek Bojan,Fakulteta za varnostne vede,Univerza v Mariboru,[''],16,3.5

2849,Rep As. Mag. Mojca,Fakulteta za varnostne vede,Univerza v Mariboru,['Kazensko procesno pravo'],15,2.6

2850,Kersnik Janko,Fakulteta za zdravstvene vede,Univerza v Mariboru,['DruŽinska medicina'],6,3.5

2851,Cucek Trifkovic Klavdija,Fakulteta za zdravstvene vede,Univerza v Mariboru,[''],5,2.0

2852,Recek Brina,Fakulteta za zdravstvene vede,Univerza v Mariboru,['Uvod v prostitucijo'],1,5.0

2853,Birk Matjaž,Filozofska Fakulteta,Univerza v Mariboru,[''],28,1.8

2854,Borovnik Silvija,Filozofska Fakulteta,Univerza v Mariboru,[''],55,2.7

2855,Cvetek Slavko,Filozofska Fakulteta,Univerza v Mariboru,['Didaktika angleŠČine '],14,2.8

2856,Drozg Vlado,Filozofska Fakulteta,Univerza v Mariboru,"['Geografija', 'Urejanje prostora', 'Geografija podeželja']",33,2.9

2857,Enčeva Milka,Filozofska Fakulteta,Univerza v Mariboru,['Lektorat'],19,3.9

2858,Fabčič Melanija Larisa,Filozofska Fakulteta,Univerza v Mariboru,['Nemški jezik - oblikoslovje'],34,3.6

2859,Gadpaille Michelle,Filozofska Fakulteta,Univerza v Mariboru,['KnjiŽevnosti v angleŠČini'],91,4.0

2860,Hemplin Margaret,Filozofska Fakulteta,Univerza v Mariboru,['Vodeno pisanje v angleščini'],41,5.0

2861,Horvat Uroš,Filozofska Fakulteta,Univerza v Mariboru,"['Geografija prebivalstva', 'Geografija']",43,2.5

2862,Ivič Kranjc Mira,Filozofska Fakulteta,Univerza v Mariboru,[''],64,3.4

2863,Jarc Miran,Filozofska Fakulteta,Univerza v Mariboru,['Lektorat angleškega jezika'],43,1.6

2864,Jesenšek Vida,Filozofska Fakulteta,Univerza v Mariboru,"['Leksikologija', 'Uvod v germanistični študij']",32,1.7

2865,Jurančič-petek Klementina,Filozofska Fakulteta,Univerza v Mariboru,['Glasoslovje'],114,3.9

2866,Jutronič Dunja,Filozofska Fakulteta,Univerza v Mariboru,"['Angleška skladnja', 'Zgodovina angleščine', 'Jezikovne spremembe']",12,2.3

2867,Kaloh Vid Natalia,Filozofska Fakulteta,Univerza v Mariboru,"['Prevajanje in tolmačenje kot poklic', 'Angleški jezik v prevodu']",40,4.5

2868,Kennedy Victor,Filozofska Fakulteta,Univerza v Mariboru,"['Angleška književnost', 'Temeljni koncepti filma', 'Osnove ustnega sporočanja v angleščini']",60,3.6

2869,Kolenc Kolnik Karmen,Filozofska Fakulteta,Univerza v Mariboru,"['Uvod v geografijo', 'Projektno in timsko delo', 'Didaktiks geografije']",33,3.5

2870,Koletnik Korošec Melita,Filozofska Fakulteta,Univerza v Mariboru,[''],77,3.7

2871,Križan Agata,Filozofska Fakulteta,Univerza v Mariboru,[''],27,3.5

2872,Križnik Margit,Filozofska Fakulteta,Univerza v Mariboru,['Lektorat nemškega jezika'],20,2.3

2873,Kukovec Melita,Filozofska Fakulteta,Univerza v Mariboru,[''],23,2.9

2874,Kučiš Vlasta,Filozofska Fakulteta,Univerza v Mariboru,['Zgodovina prevajanja in tolmačenja'],42,2.8

2875,Lipavic Oštir Alja,Filozofska Fakulteta,Univerza v Mariboru,"['Sociolingvistika ', 'Uvod v germanistični študij']",54,3.3

2876,Lorber Lučka,Filozofska Fakulteta,Univerza v Mariboru,[''],3,4.3

2877,Majcenovič Kline Barbara,Filozofska Fakulteta,Univerza v Mariboru,['Razvijanje jezikovne zmožnosti'],65,3.6

2878,Matjaž Birk,Filozofska Fakulteta,Univerza v Mariboru,['Nemška književnost I'],25,2.6

2879,Petauer Milena,Filozofska Fakulteta,Univerza v Mariboru,['Geomorfologija vaje'],18,3.1

2880,Petrič Teodor,Filozofska Fakulteta,Univerza v Mariboru,[''],52,2.2

2881,Pignar Tomanič Andreja,Filozofska Fakulteta,Univerza v Mariboru,['Lektorat iz prevajanja nem 1'],16,4.8

2882,Plemenitaš Katja,Filozofska Fakulteta,Univerza v Mariboru,['Uvod v angleško jezikoslovje'],30,3.4

2883,Pšunder Mateja,Filozofska Fakulteta,Univerza v Mariboru,[''],48,3.1

2884,Teržan-kopecky Karmen,Filozofska Fakulteta,Univerza v Mariboru,['Nevro- in psiholingvistika'],53,1.8

2885,Unuk Drago,Filozofska Fakulteta,Univerza v Mariboru,['Pravopisna in pravorečna norma slovenskega jezika'],103,2.3

2886,Valh Lopert Alenka,Filozofska Fakulteta,Univerza v Mariboru,[''],103,3.8

2887,Vovk Korže Ana,Filozofska Fakulteta,Univerza v Mariboru,['Hidrogeografija'],45,3.2

2888,Zemljak Jontes Melita,Filozofska Fakulteta,Univerza v Mariboru,"['Teoretične osnove slovenistike', 'Slovenski jezik in kultura 1', 'Kultura govornega in pisnega izražanja', 'Uvod v študij jezika']",67,4.0

2889,Zupan Simon,Filozofska Fakulteta,Univerza v Mariboru,[''],46,4.8

2890,Šabec Nada,Filozofska Fakulteta,Univerza v Mariboru,['Angleško besedotvorje'],90,1.9

2891,Žavski Bahč Mateja,Filozofska Fakulteta,Univerza v Mariboru,['Lektorat nemškega jezika'],24,3.3

2892,Žiberna Igor,Filozofska Fakulteta,Univerza v Mariboru,"['Antropogene klimatske spremembe', 'Geomorfologija', 'Klimatologija', 'Ekološka geografija']",53,3.9

2893,Drozg Vladimir,Filozofska Fakulteta,Univerza v Mariboru,['Geografija naselij'],68,2.3

2894,Friš Darko,Filozofska Fakulteta,Univerza v Mariboru,"['Zgodovina', 'Zgodovina migracij']",106,3.6

2895,Hozjan Andrej,Filozofska Fakulteta,Univerza v Mariboru,['Zgodovina'],107,3.7

2896,Klemenčič Matjaž,Filozofska Fakulteta,Univerza v Mariboru,[''],78,1.6

2897,Kolnik Karmen,Filozofska Fakulteta,Univerza v Mariboru,['Didaktika'],57,2.9

2898,Maver Aleš,Filozofska Fakulteta,Univerza v Mariboru,[''],43,4.2

2899,Potočnik Dragan,Filozofska Fakulteta,Univerza v Mariboru,[''],25,3.2

2900,Ravnikar Tone,Filozofska Fakulteta,Univerza v Mariboru,['Evropska zgodovina v srednjem veku'],45,4.4

2901,Bošnjak Blanka,Filozofska Fakulteta,Univerza v Mariboru,[''],115,3.0

2902,Haramija Dragica,Filozofska Fakulteta,Univerza v Mariboru,['Mladinska književnost'],133,3.0

2903,Hren Božidar,Filozofska Fakulteta,Univerza v Mariboru,[''],1,5.0

2904,Jesenšek Marko,Filozofska Fakulteta,Univerza v Mariboru,"['Zgodovina slovenskega knjižnega jezika', 'Oblikovanje enotne knjižne norme v 19. stoletju', 'Jezikovna politika in jezikovno načrtovanje']",179,2.4

2905,Koletnik Mihaela,Filozofska Fakulteta,Univerza v Mariboru,['Razvoj slovenskega jezika'],145,2.8

2906,Nikolovski Gjoko,Filozofska Fakulteta,Univerza v Mariboru,[''],63,2.0

2907,Pavlič Darja,Filozofska Fakulteta,Univerza v Mariboru,['Svetovna književnost'],154,3.4

2908,Pulko Simona,Filozofska Fakulteta,Univerza v Mariboru,['Didaktika slovenskega jezikamin književnosti'],132,3.0

2909,Stramljič Breznik Irena,Filozofska Fakulteta,Univerza v Mariboru,"['Besedoslovje in frazeologija ', 'Slovenski knjižni jezik 3', 'Leksikalno pomenoslovje', 'Slovenski knjižni jezik 2  skladnja']",198,3.5

2910,Ulčnik Natalija,Filozofska Fakulteta,Univerza v Mariboru,[''],112,3.0

2911,Čeh Steger Jožica,Filozofska Fakulteta,Univerza v Mariboru,['Slovenska književnost'],207,3.3

2912,Štuhec Miran,Filozofska Fakulteta,Univerza v Mariboru,['Literarna teorija'],153,2.0

2913,Bakračevič Vukman Karin,Filozofska Fakulteta,Univerza v Mariboru,"['Uvod v razvojno psihologijo', 'Višji spoznavni procesi', 'Razvojna psihologija mladostnistva in odraslosti', 'Vseživljenjski razvoj in staranje']",149,3.9

2914,Bergant Janez,Filozofska Fakulteta,Univerza v Mariboru,"['Filozofija psihologije', 'Filozofija']",73,3.4

2915,Cugmas Zlatka,Filozofska Fakulteta,Univerza v Mariboru,"['Teorija navezanosti in njena aplikacija', 'Psihični razvoj od spočetja do mladostništva']",53,2.3

2916,Devetak Dušan,Filozofska Fakulteta,Univerza v Mariboru,['Nevroetologija'],13,2.2

2917,Divjak Marko,Filozofska Fakulteta,Univerza v Mariboru,[''],69,3.7

2918,Friedl Aleš,Filozofska Fakulteta,Univerza v Mariboru,['Zgodovina in metode psihologije'],64,3.7

2919,Gartner Smiljana,Filozofska Fakulteta,Univerza v Mariboru,"['', '']",84,3.5

2920,Grajfoner Daša,Filozofska Fakulteta,Univerza v Mariboru,[''],106,3.6

2921,Habe Katarina,Filozofska Fakulteta,Univerza v Mariboru,"['Motivacija in emocije', 'Psihologija glasbe', 'Izbrana poglavja iz psihologije']",71,3.3

2922,Horvat Martina,Filozofska Fakulteta,Univerza v Mariboru,[''],18,2.4

2923,Horvat Marina,Filozofska Fakulteta,Univerza v Mariboru,['Izbrana poglavja iz psihologije'],69,3.9

2924,Jaušovec Ksenija,Filozofska Fakulteta,Univerza v Mariboru,"['Psihični razvoj od spočetja do mladostništva', 'Pedagoška psihologija']",108,3.5

2925,Jaušovec Norbert,Filozofska Fakulteta,Univerza v Mariboru,['Pedagoška psihologija'],115,1.8

2926,Jerebic Janja,Filozofska Fakulteta,Univerza v Mariboru,"['Statistika za psihologe', 'Multivariatne analize']",63,3.9

2927,Jurančič Petek Klementina,Filozofska Fakulteta,Univerza v Mariboru,['Tuji jezik v psihologiji'],43,3.3

2928,Klampfer Friderik,Filozofska Fakulteta,Univerza v Mariboru,[''],4,2.0

2929,Klanjšek Rudi,Filozofska Fakulteta,Univerza v Mariboru,"['Uvod v sociologijo', 'Obča sociologija']",65,3.2

2930,Kotnik Rudi,Filozofska Fakulteta,Univerza v Mariboru,['Uvod v gestalt terapijo'],22,3.2

2931,Kozina Ana,Filozofska Fakulteta,Univerza v Mariboru,[''],27,4.1

